Median_Index,Smoothed_Voltage
74,-8447.265625
124,-8447.265625
174,-8447.265625
224,-8447.265625
274,-8447.265625
374,-8452.148438
424,-8452.148438
474,-8452.148438
524,-8452.148438
574,-8452.148438
624,-8452.148438
674,-8452.148438
724,-8452.148438
774,-8452.148438
824,-8452.148438
874,-8452.148438
924,-8452.148438
974,-8452.148438
1024,-8452.148438
1074,-8452.148438
1174,-8457.03125
1224,-8457.03125
1274,-8457.03125
1324,-8457.03125
1374,-8457.03125
1424,-8457.03125
1474,-8457.03125
1524,-8457.03125
1574,-8457.03125
1624,-8457.03125
1674,-8457.03125
1724,-8457.03125
1774,-8457.03125
1824,-8457.03125
1874,-8457.03125
1924,-8457.03125
1974,-8457.03125
2074,-8461.914062
2124,-8461.914062
2174,-8461.914062
2274,-8466.796875
2324,-8466.796875
2374,-8466.796875
2424,-8466.796875
2474,-8466.796875
2524,-8466.796875
2574,-8466.796875
2624,-8466.796875
2674,-8466.796875
2724,-8466.796875
2774,-8466.796875
2824,-8466.796875
2874,-8466.796875
2924,-8466.796875
2974,-8466.796875
3024,-8466.796875
3174,-8461.914062
3224,-8461.914062
3274,-8461.914062
3324,-8461.914062
3374,-8461.914062
3424,-8461.914062
3524,-8457.03125
3574,-8457.03125
3624,-8457.03125
3674,-8457.03125
3724,-8457.03125
3774,-8457.03125
3824,-8457.03125
3874,-8457.03125
3924,-8457.03125
3974,-8457.03125
4024,-8457.03125
4074,-8457.03125
4124,-8457.03125
4224,-8452.148438
4274,-8452.148438
4324,-8452.148438
4374,-8452.148438
4424,-8452.148438
4474,-8452.148438
4524,-8452.148438
4574,-8452.148438
4624,-8452.148438
4674,-8452.148438
4724,-8452.148438
4774,-8452.148438
4824,-8452.148438
4874,-8452.148438
4924,-8452.148438
4974,-8452.148438
5024,-8452.148438
5074,-8452.148438
5124,-8452.148438
5174,-8452.148438
5224,-8452.148438
5274,-8452.148438
5324,-8452.148438
5374,-8452.148438
5424,-8452.148438
5474,-8452.148438
5524,-8452.148438
5574,-8452.148438
5624,-8452.148438
5724,-8457.03125
5774,-8457.03125
5824,-8457.03125
5874,-8457.03125
5924,-8457.03125
6024,-8461.914062
6124,-8466.796875
6174,-8466.796875
6224,-8466.796875
6274,-8466.796875
6324,-8466.796875
6374,-8466.796875
6424,-8466.796875
6474,-8466.796875
6524,-8466.796875
6574,-8466.796875
